seed,test_idx,RePaint_r10_rmse,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_(latent)_rmse,DPS_z0.04_(latent)_mag_err,DPS_z0.04_(latent)_angle_err_deg,DPS_z0.04_(latent)_time,DPS_z0.04_(decode)_rmse,DPS_z0.04_(decode)_mag_err,DPS_z0.04_(decode)_angle_err_deg,DPS_z0.04_(decode)_time
266,266,0.15659935772418976,0.08236762881278992,60.36867904663086,4.244170801714063,0.2718687057495117,0.1760384440422058,60.379634857177734,0.3977498533204198,0.2089138925075531,0.1043330505490303,71.71339416503906,1.6273641092702746,0.16085615754127502,0.10465198755264282,46.187503814697266,2.3035481814295053
273,273,0.41531816124916077,0.245650053024292,53.51937484741211,4.200905619189143,0.1599072515964508,0.09147662669420242,46.23774719238281,0.3899590624496341,0.22742946445941925,0.13898400962352753,77.71868896484375,1.6719580199569464,0.22481809556484222,0.12548620998859406,58.579708099365234,2.2174303205683827
280,280,0.41558361053466797,0.3190758228302002,60.35055160522461,4.270825695246458,0.14812980592250824,0.07753526419401169,81.65396118164062,0.4024455463513732,0.19690702855587006,0.12647691369056702,57.28057098388672,1.7499103900045156,0.17091162502765656,0.09940114617347717,55.89931869506836,2.31243306491524
287,287,0.2380782812833786,0.12308183312416077,96.70098876953125,4.248520903289318,0.21058854460716248,0.11582021415233612,81.19223022460938,0.39617414493113756,0.33568379282951355,0.22113950550556183,86.11356353759766,1.65275654848665,0.13084262609481812,0.044616252183914185,81.37825775146484,2.2114805188030005
294,294,0.1683446168899536,0.06974157691001892,60.700931549072266,4.283256571739912,0.1800098568201065,0.09762392193078995,75.33208465576172,0.4076124494895339,0.13587062060832977,0.08700954169034958,61.1257438659668,1.6298195160925388,0.17435966432094574,0.10456547141075134,63.73617935180664,2.2676579505205154
301,301,0.18137596547603607,0.12223953753709793,39.70272445678711,4.331634768284857,0.12526141107082367,0.0622190497815609,53.21055221557617,0.4002220332622528,0.19454585015773773,0.1286807358264923,52.20296096801758,1.5943011874333024,0.09590387344360352,0.048695433884859085,34.54494094848633,2.245617190375924
308,308,0.15715107321739197,0.08392007648944855,50.14735794067383,4.281550302170217,0.1897953301668167,0.08386491239070892,98.48076629638672,0.42322708759456873,0.11801832914352417,0.07262572646141052,56.85415267944336,1.6639625234529376,0.07658692449331284,0.03439461439847946,38.58682632446289,2.354294049553573
315,315,0.17351382970809937,0.1283811777830124,36.16157913208008,4.276100783608854,0.29191073775291443,0.16752153635025024,67.58740997314453,0.39768580719828606,0.19222649931907654,0.15104278922080994,46.57135009765625,1.709074717015028,0.22486844658851624,0.1296922117471695,51.1724967956543,2.3184975534677505
322,322,0.19218483567237854,0.12246251106262207,81.6658935546875,4.289394209161401,0.347170352935791,0.2375129908323288,87.62139892578125,0.4042772212997079,0.09681302309036255,0.04437175393104553,88.62996673583984,1.6964464290067554,0.10876695066690445,0.049930233508348465,80.87722778320312,2.23519794549793
329,329,0.27981695532798767,0.19000476598739624,62.83663558959961,4.301227074116468,0.1880785971879959,0.11668424308300018,70.14617919921875,0.4060457209125161,0.24287742376327515,0.1441640555858612,67.28691864013672,1.7147787483409047,0.14123155176639557,0.06291269510984421,52.062686920166016,2.2613087594509125
