seed,test_idx,RePaint_r10_rmse,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_time,DPS_z0.5_rmse,DPS_z0.5_time,DPS_z0.04_rmse,DPS_z0.04_time,RD_r1_z0.5_rmse,RD_r1_z0.5_time,RD_r1_z0.04_rmse,RD_r1_z0.04_time,DDIM_eta0_rmse,DDIM_eta0_time,DDIM_eta1_rmse,DDIM_eta1_time,DDIM_DPS_e0_z0.5_rmse,DDIM_DPS_e0_z0.5_time,DDIM_DPS_e0_z0.04_rmse,DDIM_DPS_e0_z0.04_time,DDIM_DPS_e1_z0.5_rmse,DDIM_DPS_e1_z0.5_time,DDIM_DPS_e1_z0.04_rmse,DDIM_DPS_e1_z0.04_time
315,315,0.09929696470499039,6.7709552105516195,0.13543348014354706,0.647283997386694,0.09915296733379364,2.5132396779954433,0.045647479593753815,2.4986567022278905,0.1714925318956375,2.5448876339942217,0.029123172163963318,2.554830800741911,0.10886386781930923,0.7277384521439672,0.15562082827091217,0.6763726808130741,0.21373671293258667,1.9677655398845673,0.07090447098016739,2.012991290539503,0.11355030536651611,2.0145009737461805,0.062024086713790894,1.9658009549602866
322,322,0.05544992536306381,6.717347654514015,0.06579224020242691,0.6518756086006761,0.16909073293209076,2.518701587803662,0.039937835186719894,2.521592579782009,0.14083454012870789,2.5135237714275718,0.044818051159381866,2.589070875197649,0.10113346576690674,0.7594408299773932,0.1435200273990631,0.6359692281112075,0.1258939504623413,2.0424841064959764,0.040855858474969864,2.063693373464048,0.09502308070659637,2.067611688748002,0.04020112380385399,2.0317652532830834
329,329,0.06926757097244263,6.738322962075472,0.09779685735702515,0.637978095561266,0.05273367464542389,2.4831860875710845,0.04379260912537575,2.607810282148421,0.04763833433389664,2.5323131643235683,0.04049716517329216,2.549945356324315,0.1086026132106781,0.734431897290051,0.0879872590303421,0.7316682226955891,0.14594046771526337,1.9980897810310125,0.08897687494754791,2.0088818995282054,0.0568465031683445,1.9055696977302432,0.04711991176009178,1.932409311644733
336,336,0.2607988119125366,6.675631516613066,0.1419132947921753,0.6432711025699973,0.33043643832206726,2.480773951858282,0.053215548396110535,2.5185397937893867,0.14866816997528076,2.5408824253827333,0.06044067442417145,2.558403881266713,0.16784095764160156,0.7429131781682372,0.14473246037960052,0.6360803348943591,0.3909241557121277,1.9700844949111342,0.07979971915483475,1.9796398570761085,0.3405875265598297,2.006540442816913,0.06353730708360672,2.0044018710032105
343,343,0.19002734124660492,6.70676477253437,0.09347541630268097,0.6403192803263664,0.08368993550539017,2.462062037549913,0.07070353627204895,2.53982961922884,0.07217931747436523,2.5917008267715573,0.07240226864814758,2.5411902917549014,0.13450726866722107,0.7260300852358341,0.22587859630584717,0.6473330594599247,0.2975098192691803,2.024877811782062,0.06367254257202148,2.0075100287795067,0.16285908222198486,1.9694914491847157,0.03349309042096138,1.9955186722800136
350,350,0.12152504175901413,6.606937692500651,0.06215870752930641,0.6227266862988472,0.07467634230852127,2.249037118628621,0.05332273989915848,2.2527688425034285,0.13441307842731476,2.5753498626872897,0.05585889145731926,2.5903834104537964,0.09611740708351135,0.7410229369997978,0.06961490213871002,0.6837902199476957,0.2280443161725998,1.9885057471692562,0.10435714572668076,2.0587398502975702,0.20006807148456573,2.035287323407829,0.05626349896192551,2.022609972395003
357,357,0.11126641184091568,6.624150846153498,0.17056533694267273,0.6287963856011629,0.0734342560172081,2.4677146058529615,0.04649152606725693,2.4857581174001098,0.05719786509871483,2.4577812012284994,0.056777700781822205,2.5814725486561656,0.1994324028491974,0.7513487506657839,0.2567286193370819,0.6334982626140118,0.14384424686431885,1.9922881601378322,0.04124487563967705,2.0117671666666865,0.059784770011901855,1.9715385688468814,0.04486494138836861,1.9748254297301173
364,364,0.08870919793844223,6.721292786300182,0.07401848584413528,0.6750227706506848,0.09908659756183624,2.4752653827890754,0.11961588263511658,2.5142718981951475,0.14133161306381226,2.5754642141982913,0.10307693481445312,2.5245970552787185,0.1896020770072937,0.7316421726718545,0.12331211566925049,0.6380240311846137,0.11670450121164322,2.0179364550858736,0.10794214904308319,2.0488951094448566,0.15448327362537384,2.019073353148997,0.09160292893648148,2.0399059988558292
371,371,0.05889590457081795,6.649563552811742,0.09851622581481934,0.6361761512234807,0.21195363998413086,2.4332581302151084,0.04766889661550522,2.5281997555866838,0.14149416983127594,2.5319457594305277,0.05214976519346237,2.4127483321353793,0.06518638134002686,0.7412473112344742,0.08579377084970474,0.6550398860126734,0.20368310809135437,2.0316394101828337,0.060152627527713776,2.0208409121260047,0.12564434111118317,2.034254296682775,0.04842723160982132,1.9736746223643422
378,378,0.05372079089283943,6.603604421019554,0.17609629034996033,0.6262298012152314,0.1389245241880417,2.4316450664773583,0.0922585055232048,2.550951363518834,0.15282560884952545,2.602099466137588,0.06670483946800232,2.53690099157393,0.09458007663488388,0.7177205067127943,0.09084048122167587,0.6193950492888689,0.1969313770532608,1.9717120500281453,0.059340666979551315,1.9283947190269828,0.19409959018230438,1.938296101987362,0.055795975029468536,1.9477085238322616
