12 Methods  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 100

Method                    Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
---------------------------------------------------------------------------
RePaint r=10                 0.0978     0.0485   0.0226   0.2608          6.74
RePaint r=1                  0.1062     0.0511   0.0353   0.2948          0.65
DPS z=0.5                    0.1221     0.0566   0.0142   0.3304          2.48
DPS z=0.04                   0.0583     0.0256   0.0210   0.1439          2.53
RD r=1 z=0.5                 0.1319     0.0575   0.0205   0.3254          2.58
RD r=1 z=0.04                0.0611     0.0259   0.0208   0.1342          2.59
DDIM eta=0                   0.1241     0.0567   0.0421   0.3380          0.73
DDIM eta=1                   0.1046     0.0462   0.0411   0.3069          0.65
DDIM+DPS e0 z=0.5            0.1725     0.0615   0.0711   0.3909          2.01
DDIM+DPS e0 z=0.04           0.0665     0.0248   0.0195   0.1610          2.00
DDIM+DPS e1 z=0.5            0.1184     0.0561   0.0164   0.3406          2.01
DDIM+DPS e1 z=0.04           0.0569     0.0257   0.0138   0.1637          2.00

Per-seed breakdown:
    Seed   idx  RePaint r=      t  RePaint r=      t   DPS z=0.5      t  DPS z=0.04      t  RD r=1 z=0      t  RD r=1 z=0      t  DDIM eta=0      t  DDIM eta=1      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t
     357   357      0.1113    6.6      0.1706    0.6      0.0734    2.5      0.0465    2.5      0.0572    2.5      0.0568    2.6      0.1994    0.8      0.2567    0.6      0.1438    2.0      0.0412    2.0      0.0598    2.0      0.0449    2.0
     364   364      0.0887    6.7      0.0740    0.7      0.0991    2.5      0.1196    2.5      0.1413    2.6      0.1031    2.5      0.1896    0.7      0.1233    0.6      0.1167    2.0      0.1079    2.0      0.1545    2.0      0.0916    2.0
     371   371      0.0589    6.6      0.0985    0.6      0.2120    2.4      0.0477    2.5      0.1415    2.5      0.0521    2.4      0.0652    0.7      0.0858    0.7      0.2037    2.0      0.0602    2.0      0.1256    2.0      0.0484    2.0
     378   378      0.0537    6.6      0.1761    0.6      0.1389    2.4      0.0923    2.6      0.1528    2.6      0.0667    2.5      0.0946    0.7      0.0908    0.6      0.1969    2.0      0.0593    1.9      0.1941    1.9      0.0558    1.9
     385   385      0.0539    6.7      0.0826    0.6      0.2159    2.4      0.0327    2.5      0.0772    2.6      0.0298    2.6      0.0875    0.7      0.0843    0.7      0.1871    2.0      0.0377    2.0      0.0462    2.0      0.0214    2.0
     392   392      0.0884    6.5      0.0925    0.6      0.1080    2.4      0.0724    2.5      0.2017    2.6      0.0739    2.6      0.1424    0.8      0.0996    0.7      0.2248    2.0      0.0673    2.0      0.1225    2.1      0.0549    2.1
     399   399      0.0675    6.5      0.0832    0.6      0.1439    2.6      0.0593    2.5      0.1377    2.6      0.0881    2.7      0.1523    0.7      0.1215    0.6      0.2344    2.1      0.0834    2.0      0.0804    2.1      0.0482    2.0
     406   406      0.1180    6.8      0.2317    0.6      0.1039    2.5      0.0458    2.9      0.1284    2.8      0.0559    2.7      0.0969    0.7      0.1448    0.6      0.2297    2.0      0.0823    2.0      0.1080    2.1      0.0670    2.1
     413   413      0.0608    6.7      0.0604    0.7      0.0992    2.5      0.0282    2.5      0.1126    2.5      0.0573    2.5      0.0579    0.7      0.0898    0.6      0.1673    2.0      0.0292    2.1      0.1420    2.1      0.0229    2.1
     420   420      0.0707    6.8      0.0593    0.7      0.0916    2.5      0.0400    2.5      0.0651    2.5      0.0715    2.6      0.0600    0.7      0.0437    0.6      0.2018    2.0      0.0508    2.0      0.0807    2.1      0.0406    1.8
