epoch,timestamp_utc,train_loss,val_loss
274,2026-06-11T21:54:00.732959+00:00,0.0030900319,0.0047677477
275,2026-06-11T21:55:10.041054+00:00,0.0036036673,0.0053257690
276,2026-06-11T21:56:19.263127+00:00,0.0030768825,0.0052410937
277,2026-06-11T21:57:28.561478+00:00,0.0036676199,0.0051815129
278,2026-06-11T21:58:37.772162+00:00,0.0030729854,0.0050537031
279,2026-06-11T21:59:47.034245+00:00,0.0031617983,0.0051429438
280,2026-06-11T22:00:56.237986+00:00,0.0032552859,0.0047060599
281,2026-06-11T22:02:05.710209+00:00,0.0033779266,0.0048178206
282,2026-06-11T22:03:15.212011+00:00,0.0030888602,0.0046008232
283,2026-06-11T22:04:24.638420+00:00,0.0030917219,0.0047123705
284,2026-06-11T22:05:34.001792+00:00,0.0032353373,0.0053834570
285,2026-06-11T22:06:43.229471+00:00,0.0032836171,0.0052582775
286,2026-06-11T22:07:52.462720+00:00,0.0030606819,0.0050246096
287,2026-06-11T22:09:01.786607+00:00,0.0035203111,0.0054099145
288,2026-06-11T22:10:11.285422+00:00,0.0033981000,0.0049679379
289,2026-06-11T22:11:20.645696+00:00,0.0032678731,0.0048443005
290,2026-06-11T22:12:29.926693+00:00,0.0030980076,0.0049291387
291,2026-06-11T22:13:39.380356+00:00,0.0031979444,0.0047910602
292,2026-06-11T22:14:49.002836+00:00,0.0031841892,0.0050952166
293,2026-06-11T22:15:58.461083+00:00,0.0034856706,0.0052738923
294,2026-06-11T22:17:07.839457+00:00,0.0030708023,0.0051349339
295,2026-06-11T22:18:17.073166+00:00,0.0030601559,0.0048800444
296,2026-06-11T22:19:26.359571+00:00,0.0031898812,0.0049882434
297,2026-06-11T22:20:35.670830+00:00,0.0034119203,0.0045168517
298,2026-06-11T22:21:44.964645+00:00,0.0028524833,0.0047132950
299,2026-06-11T22:22:54.162998+00:00,0.0032902388,0.0051123809
300,2026-06-11T22:24:03.382931+00:00,0.0032489504,0.0041252755
301,2026-06-11T22:25:13.206576+00:00,0.0029123068,0.0051780174
302,2026-06-11T22:26:22.466719+00:00,0.0031404852,0.0050658483
303,2026-06-11T22:27:31.654213+00:00,0.0030270760,0.0054515525
304,2026-06-11T22:28:41.006144+00:00,0.0030313118,0.0048432309
305,2026-06-11T22:29:50.299271+00:00,0.0030523938,0.0052778813
306,2026-06-11T22:30:59.623013+00:00,0.0033785823,0.0052100999
307,2026-06-11T22:32:08.940255+00:00,0.0030116604,0.0048637744
308,2026-06-11T22:33:18.171704+00:00,0.0029507043,0.0053323441
309,2026-06-11T22:34:27.489716+00:00,0.0030463356,0.0049458550
310,2026-06-11T22:35:36.812384+00:00,0.0029564820,0.0051139305
311,2026-06-11T22:36:46.144392+00:00,0.0030053824,0.0045705692
312,2026-06-11T22:37:55.475846+00:00,0.0031028990,0.0055952422
313,2026-06-11T22:39:04.782820+00:00,0.0030923271,0.0053591928
314,2026-06-11T22:40:14.124821+00:00,0.0031193289,0.0048823994
315,2026-06-11T22:41:23.424424+00:00,0.0030337677,0.0051977162
316,2026-06-11T22:42:32.729465+00:00,0.0033145285,0.0053259094
317,2026-06-11T22:43:41.968722+00:00,0.0031760802,0.0052596074
318,2026-06-11T22:44:51.155747+00:00,0.0031549969,0.0046915572
319,2026-06-11T22:46:00.460082+00:00,0.0030656518,0.0053193285
320,2026-06-11T22:47:09.785673+00:00,0.0031986569,0.0047718833
321,2026-06-11T22:48:19.350986+00:00,0.0029665317,0.0049025638
322,2026-06-11T22:49:28.712204+00:00,0.0028182305,0.0053186950
323,2026-06-11T22:50:37.983670+00:00,0.0029468958,0.0050725869
324,2026-06-11T22:51:47.373304+00:00,0.0029793344,0.0052489245
325,2026-06-11T22:52:56.630057+00:00,0.0032695580,0.0047478091
326,2026-06-11T22:54:06.218661+00:00,0.0033304066,0.0052205775
327,2026-06-11T22:55:15.529846+00:00,0.0030658915,0.0053749205
328,2026-06-11T22:56:24.839133+00:00,0.0033726939,0.0055852466
329,2026-06-11T22:57:34.303436+00:00,0.0031352664,0.0050124730
330,2026-06-11T22:58:43.875884+00:00,0.0029583692,0.0054119627
331,2026-06-11T22:59:53.424034+00:00,0.0029497324,0.0054041992
332,2026-06-11T23:01:02.665934+00:00,0.0031847576,0.0053265550
333,2026-06-11T23:02:11.904168+00:00,0.0029871252,0.0048574273
334,2026-06-11T23:03:21.278185+00:00,0.0028086499,0.0047151446
335,2026-06-11T23:04:30.463566+00:00,0.0030636261,0.0048825180
336,2026-06-11T23:05:39.791769+00:00,0.0030840280,0.0056661067
337,2026-06-11T23:06:49.109143+00:00,0.0031607219,0.0052544303
338,2026-06-11T23:07:58.326259+00:00,0.0031179877,0.0050088010
339,2026-06-11T23:09:07.653602+00:00,0.0030873151,0.0057857234
340,2026-06-11T23:10:17.001007+00:00,0.0032632001,0.0048585890
341,2026-06-11T23:11:26.376858+00:00,0.0030856988,0.0053491886
342,2026-06-11T23:12:35.632419+00:00,0.0030358174,0.0043924699
343,2026-06-11T23:13:44.844305+00:00,0.0029710692,0.0054831955
344,2026-06-11T23:14:54.169760+00:00,0.0028691707,0.0056012471
345,2026-06-11T23:16:03.490373+00:00,0.0028199204,0.0052393051
346,2026-06-11T23:17:12.912863+00:00,0.0029045958,0.0050396197
347,2026-06-11T23:18:22.288818+00:00,0.0030464914,0.0046832441
348,2026-06-11T23:19:31.662756+00:00,0.0029334943,0.0055737103
349,2026-06-11T23:20:41.022970+00:00,0.0029975817,0.0053837175
350,2026-06-11T23:21:50.355230+00:00,0.0029300985,0.0053792551
351,2026-06-11T23:22:59.665779+00:00,0.0030535572,0.0051607129
352,2026-06-11T23:24:09.006032+00:00,0.0028280720,0.0050106313
353,2026-06-11T23:25:18.368683+00:00,0.0032862334,0.0054971739
354,2026-06-11T23:26:27.745464+00:00,0.0030736405,0.0049528075
355,2026-06-11T23:27:37.068919+00:00,0.0031161219,0.0053067672
356,2026-06-11T23:28:46.413934+00:00,0.0027244506,0.0053441951
357,2026-06-11T23:29:55.806011+00:00,0.0031456650,0.0048942065
358,2026-06-11T23:31:05.043060+00:00,0.0029010290,0.0051219959
359,2026-06-11T23:32:14.350184+00:00,0.0029107314,0.0054067742
360,2026-06-11T23:33:23.700530+00:00,0.0030464275,0.0056920411
361,2026-06-11T23:34:33.061905+00:00,0.0027907191,0.0065165845
362,2026-06-11T23:35:42.398451+00:00,0.0029274831,0.0054981872
363,2026-06-11T23:36:51.729868+00:00,0.0027406344,0.0053798830
364,2026-06-11T23:38:01.093116+00:00,0.0026990371,0.0054096778
365,2026-06-11T23:39:10.402260+00:00,0.0028334945,0.0055803856
366,2026-06-11T23:40:19.647205+00:00,0.0026762985,0.0053924751
367,2026-06-11T23:41:28.882688+00:00,0.0028904814,0.0053613562
368,2026-06-11T23:42:38.091158+00:00,0.0029746398,0.0053656557
